Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/19/2023,96.325,96.325,96.325,96.325,0.005,+0.01%,0,0
07/18/2023,96.32,96.32,96.32,96.32,-0.005,-0.01%,0,0
07/17/2023,96.325,96.325,96.325,96.325,0.01,+0.01%,0,0
07/14/2023,96.315,96.315,96.315,96.315,-0.18,-0.19%,0,0
07/13/2023,96.495,96.495,96.495,96.495,0.195,+0.20%,0,0
07/12/2023,96.3,96.3,96.3,96.3,0.22,+0.23%,0,0
07/11/2023,96.08,96.08,96.08,96.08,-0.035,-0.04%,0,0
07/10/2023,96.115,96.115,96.115,96.115,0.1,+0.10%,0,0
07/07/2023,96.015,96.015,96.015,96.015,0.095,+0.10%,0,0
07/06/2023,95.92,95.92,95.92,95.92,-0.065,-0.07%,0,0
07/05/2023,95.985,95.985,95.985,95.985,-0.03,-0.03%,0,0
07/03/2023,96.015,96.015,96.015,96.015,-0.08,-0.08%,0,0
06/30/2023,96.095,96.095,96.095,96.095,-0.025,-0.03%,0,0
06/29/2023,96.12,96.12,96.12,96.12,-0.16,-0.17%,0,0
06/28/2023,96.28,96.28,96.28,96.28,0.06,+0.06%,0,0
06/27/2023,96.22,96.22,96.22,96.22,-0.09,-0.09%,0,0
06/26/2023,96.31,96.31,96.31,96.31,0.005,+0.01%,0,0
06/23/2023,96.305,96.305,96.305,96.305,0.05,+0.05%,0,0
06/22/2023,96.255,96.255,96.255,96.255,-0.115,-0.12%,0,0
06/21/2023,96.37,96.37,96.37,96.37,0.005,+0.01%,0,0
06/20/2023,96.365,96.365,96.365,96.365,0.105,+0.11%,0,0
06/16/2023,96.26,96.26,96.26,96.26,-0.09,-0.09%,0,0
06/15/2023,96.35,96.35,96.35,96.35,0.06,+0.06%,0,0
06/14/2023,96.29,96.29,96.29,96.29,0.005,+0.01%,0,0
06/13/2023,96.285,96.285,96.285,96.285,-0.155,-0.16%,0,0
06/12/2023,96.44,96.44,96.44,96.44,0.03,+0.03%,0,0
06/09/2023,96.41,96.41,96.41,96.41,-0.11,-0.11%,0,0
06/08/2023,96.52,96.52,96.52,96.52,0.03,+0.03%,0,0
06/07/2023,96.49,96.49,96.49,96.49,-0.085,-0.09%,0,0
06/06/2023,96.575,96.575,96.575,96.575,-0.085,-0.09%,0,0
06/05/2023,96.66,96.66,96.66,96.66,0.055,+0.06%,0,0
06/02/2023,96.605,96.605,96.605,96.605,-0.22,-0.23%,0,0
06/01/2023,96.825,96.825,96.825,96.825,0.025,+0.03%,0,0
05/31/2023,96.8,96.8,96.8,96.8,0.115,+0.12%,0,0
05/30/2023,96.685,96.685,96.685,96.685,0.21,+0.22%,0,0
05/26/2023,96.475,96.475,96.475,96.475,-0.115,-0.12%,0,0
05/25/2023,96.59,96.59,96.59,96.59,-0.17,-0.18%,0,0
05/24/2023,96.76,96.76,96.76,96.76,-0.025,-0.03%,0,0
05/23/2023,96.785,96.785,96.785,96.785,0,0.00%,0,0
05/22/2023,96.785,96.785,96.785,96.785,-0.04,-0.04%,0,0
05/19/2023,96.825,96.825,96.825,96.825,-0.035,-0.04%,0,0
05/18/2023,96.86,96.86,96.86,96.86,-0.085,-0.09%,0,0
05/17/2023,96.945,96.945,96.945,96.945,-0.075,-0.08%,0,0
05/16/2023,97.02,97.02,97.02,97.02,-0.055,-0.06%,0,0
05/15/2023,97.075,97.075,97.075,97.075,-0.005,-0.01%,0,0
05/12/2023,97.08,97.08,97.08,97.08,-0.11,-0.11%,0,0
05/11/2023,97.19,97.19,97.19,97.19,-0.005,-0.01%,0,0
05/10/2023,97.195,97.195,97.195,97.195,0.16,+0.16%,0,0
05/09/2023,97.035,97.035,97.035,97.035,0.025,+0.03%,0,0
05/08/2023,97.01,97.01,97.01,97.01,-0.1,-0.10%,0,0
05/05/2023,97.11,97.11,97.11,97.11,-0.28,-0.29%,0,0
05/04/2023,97.39,97.39,97.39,97.39,0.225,+0.23%,0,0
05/03/2023,97.165,97.165,97.165,97.165,0.09,+0.09%,0,0
05/02/2023,97.075,97.075,97.075,97.075,0.195,+0.20%,0,0
05/01/2023,96.88,96.88,96.88,96.88,-0.095,-0.10%,0,0
04/28/2023,96.975,96.975,96.975,96.975,0.025,+0.03%,0,0
04/27/2023,96.95,96.95,96.95,96.95,-0.19,-0.20%,0,0
04/26/2023,97.14,97.14,97.14,97.14,-0.035,-0.04%,0,0
04/25/2023,97.175,97.175,97.175,97.175,0.28,+0.29%,0,0
04/24/2023,96.895,96.895,96.895,96.895,0.055,+0.06%,0,0
04/21/2023,96.84,96.84,96.84,96.84,-0.005,-0.01%,0,0
04/20/2023,96.845,96.845,96.845,96.845,0.135,+0.14%,0,0
04/19/2023,96.71,96.71,96.71,96.71,0,0.00%,0,0
04/18/2023,96.71,96.71,96.71,96.71,0,0.00%,0,0
04/17/2023,96.71,96.71,96.71,96.71,-0.115,-0.12%,0,0
04/14/2023,96.825,96.825,96.825,96.825,-0.15,-0.15%,0,0
04/13/2023,96.975,96.975,96.975,96.975,0.005,+0.01%,0,0
04/12/2023,96.97,96.97,96.97,96.97,0.105,+0.11%,0,0
04/11/2023,96.865,96.865,96.865,96.865,-0.05,-0.05%,0,0
04/10/2023,96.915,96.915,96.915,96.915,-0.01,-0.01%,0,0
04/07/2023,96.925,96.925,96.925,96.925,-0.19,-0.20%,0,0
04/06/2023,97.115,97.115,97.115,97.115,-0.105,-0.11%,0,0
04/05/2023,97.22,97.22,97.22,97.22,0.095,+0.10%,0,0
04/04/2023,97.125,97.125,97.125,97.125,0.2,+0.21%,0,0
04/03/2023,96.925,96.935,96.925,96.925,0.165,+0.17%,0,0
03/31/2023,96.76,96.835,96.76,96.76,0.065,+0.07%,0,0
03/30/2023,96.695,96.72,96.695,96.695,-0.015,-0.02%,0,0
03/29/2023,96.71,96.78,96.71,96.71,-0.02,-0.02%,0,0
03/28/2023,96.73,96.73,96.73,96.73,-0.14,-0.14%,0,0
03/27/2023,96.87,96.87,96.87,96.87,-0.265,-0.27%,0,0
03/24/2023,97.135,97.135,97.135,97.135,-0.165,-0.17%,0,0
03/23/2023,97.3,97.3,97.3,97.3,0.13,+0.13%,0,0
03/22/2023,97.17,97.17,97.17,97.17,0.275,+0.28%,0,0
03/21/2023,96.895,96.895,96.895,96.895,-0.28,-0.29%,0,0
03/20/2023,97.175,97.175,97.175,97.175,-0.075,-0.08%,0,0
03/17/2023,97.25,97.25,97.25,97.25,-0.015,-0.02%,0,0
03/16/2023,97.265,97.265,97.265,97.265,-0.09,-0.09%,0,0
03/15/2023,97.355,97.355,97.355,97.355,0.16,+0.16%,0,0
03/14/2023,97.195,97.195,97.195,97.195,-0.35,-0.36%,0,0
03/13/2023,97.545,97.545,97.545,97.545,1,+1.04%,0,0
03/10/2023,96.545,96.545,96.545,96.545,0.44,+0.46%,0,0
03/09/2023,96.105,96.105,96.105,96.105,0.205,+0.21%,0,0
03/08/2023,95.9,95.9,95.9,95.9,-0.01,-0.01%,0,0
03/07/2023,95.91,95.91,95.91,95.91,-0.09,-0.09%,0,0
03/06/2023,96,96,96,96,0,0.00%,0,0
