Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/21/2023,95.495,95.495,95.495,95.495,-0.045,-0.05%,0,2
09/20/2023,95.54,95.54,95.54,95.54,-0.01,-0.01%,0,2
09/19/2023,95.55,95.55,95.55,95.55,-0.085,-0.09%,0,2
09/18/2023,95.635,95.635,95.635,95.635,-0.045,-0.05%,0,2
09/15/2023,95.68,95.68,95.68,95.68,-0.04,-0.04%,0,2
09/14/2023,95.72,95.72,95.72,95.72,-0.04,-0.04%,0,2
09/13/2023,95.76,95.76,95.76,95.76,0.015,+0.02%,0,2
09/12/2023,95.745,95.745,95.745,95.745,-0.03,-0.03%,0,2
09/11/2023,95.775,95.775,95.775,95.775,-0.005,-0.01%,1,2
09/08/2023,95.78,95.78,95.78,95.78,-0.05,-0.05%,0,1
09/07/2023,95.83,95.83,95.83,95.83,0.09,+0.09%,0,1
09/06/2023,95.74,95.74,95.74,95.74,-0.075,-0.08%,0,1
09/05/2023,95.815,95.815,95.815,95.815,-0.145,-0.15%,0,1
09/01/2023,95.96,95.96,95.96,95.96,-0.015,-0.02%,0,1
08/31/2023,95.975,95.975,95.975,95.975,0.025,+0.03%,0,1
08/30/2023,95.95,95.95,95.95,95.95,0.03,+0.03%,0,1
08/29/2023,95.92,95.92,95.92,95.92,0.145,+0.15%,0,1
08/28/2023,95.775,95.775,95.775,95.775,0.005,+0.01%,1,1
08/25/2023,95.77,95.77,95.77,95.77,-0.045,-0.05%,0,1
08/24/2023,95.815,95.815,95.815,95.815,-0.07,-0.07%,0,1
08/23/2023,95.885,95.885,95.885,95.885,0.11,+0.11%,0,1
08/22/2023,95.775,95.775,95.775,95.775,-0.06,-0.06%,0,1
08/21/2023,95.815,95.835,95.815,95.835,-0.06,-0.06%,1,1
08/18/2023,95.895,95.895,95.895,95.895,0.025,+0.03%,0,0
08/17/2023,95.87,95.87,95.87,95.87,-0.01,-0.01%,0,0
08/16/2023,95.88,95.88,95.88,95.88,-0.03,-0.03%,0,0
08/15/2023,95.91,95.91,95.91,95.91,0,0.00%,0,0
08/14/2023,95.91,95.91,95.91,95.91,-0.095,-0.10%,0,0
08/11/2023,96.005,96.005,96.005,96.005,-0.115,-0.12%,0,0
08/10/2023,96.12,96.12,96.12,96.12,0.015,+0.02%,0,0
08/09/2023,96.105,96.105,96.105,96.105,-0.05,-0.05%,0,0
08/08/2023,96.155,96.155,96.155,96.155,0.01,+0.01%,0,0
08/07/2023,96.14,96.145,96.14,96.145,0.055,+0.06%,2,0
08/04/2023,96.09,96.09,96.09,96.09,0.12,+0.13%,0,0
08/03/2023,95.97,95.97,95.97,95.97,-0.02,-0.02%,0,0
08/02/2023,95.99,95.99,95.99,95.99,0.055,+0.06%,0,0
08/01/2023,95.935,95.935,95.935,95.935,-0.025,-0.03%,0,0
07/31/2023,95.96,95.96,95.96,95.96,0.03,+0.03%,0,0
07/28/2023,95.93,95.93,95.93,95.93,0.03,+0.03%,0,0
07/27/2023,95.9,95.9,95.9,95.9,-0.175,-0.18%,0,0
07/26/2023,96.075,96.075,96.075,96.075,0.085,+0.09%,0,0
07/25/2023,95.99,95.99,95.99,95.99,-0.055,-0.06%,0,0
07/24/2023,96.045,96.045,96.045,96.045,-0.05,-0.05%,0,0
07/21/2023,96.095,96.095,96.095,96.095,-0.025,-0.03%,0,0
07/20/2023,96.12,96.12,96.12,96.12,-0.105,-0.11%,0,0
07/19/2023,96.225,96.225,96.225,96.225,0,0.00%,0,0
07/18/2023,96.225,96.225,96.225,96.225,-0.01,-0.01%,0,0
07/17/2023,96.235,96.235,96.235,96.235,0.01,+0.01%,0,0
07/14/2023,96.225,96.225,96.225,96.225,-0.18,-0.19%,0,0
07/13/2023,96.405,96.405,96.405,96.405,0.195,+0.20%,0,0
07/12/2023,96.21,96.21,96.21,96.21,0.22,+0.23%,0,0
07/11/2023,95.99,95.99,95.99,95.99,-0.035,-0.04%,0,0
07/10/2023,96.025,96.025,96.025,96.025,0.1,+0.10%,0,0
07/07/2023,95.925,95.925,95.925,95.925,0.095,+0.10%,0,0
07/06/2023,95.83,95.83,95.83,95.83,-0.065,-0.07%,0,0
07/05/2023,95.895,95.895,95.895,95.895,-0.04,-0.04%,0,0
07/03/2023,95.935,95.935,95.935,95.935,-0.08,-0.08%,0,0
06/30/2023,96.015,96.015,96.015,96.015,-0.025,-0.03%,0,0
06/29/2023,96.04,96.04,96.04,96.04,-0.16,-0.17%,0,0
06/28/2023,96.2,96.2,96.2,96.2,0.06,+0.06%,0,0
06/27/2023,96.14,96.14,96.14,96.14,-0.095,-0.10%,0,0
06/26/2023,96.235,96.235,96.235,96.235,0.005,+0.01%,0,0
06/23/2023,96.23,96.23,96.23,96.23,0.05,+0.05%,0,0
06/22/2023,96.18,96.18,96.18,96.18,-0.125,-0.13%,0,0
06/21/2023,96.305,96.305,96.305,96.305,0.005,+0.01%,0,0
06/20/2023,96.3,96.3,96.3,96.3,0.08,+0.08%,0,0
06/16/2023,96.22,96.22,96.22,96.22,-0.09,-0.09%,0,0
06/15/2023,96.31,96.31,96.31,96.31,0.06,+0.06%,0,0
06/14/2023,96.25,96.25,96.25,96.25,0.005,+0.01%,0,0
06/13/2023,96.245,96.245,96.245,96.245,-0.155,-0.16%,0,0
06/12/2023,96.4,96.4,96.4,96.4,0.03,+0.03%,0,0
06/09/2023,96.37,96.37,96.37,96.37,-0.11,-0.11%,0,0
06/08/2023,96.48,96.48,96.48,96.48,0.025,+0.03%,0,0
06/07/2023,96.455,96.455,96.455,96.455,-0.09,-0.09%,0,0
06/06/2023,96.545,96.545,96.545,96.545,-0.09,-0.09%,0,0
06/05/2023,96.635,96.635,96.635,96.635,0.055,+0.06%,0,0
06/02/2023,96.58,96.58,96.58,96.58,-0.22,-0.23%,0,0
06/01/2023,96.8,96.8,96.8,96.8,0.025,+0.03%,0,0
05/31/2023,96.775,96.775,96.775,96.775,0.115,+0.12%,0,0
05/30/2023,96.66,96.66,96.66,96.66,0.18,+0.19%,0,0
05/26/2023,96.48,96.48,96.48,96.48,-0.115,-0.12%,0,0
05/25/2023,96.595,96.595,96.595,96.595,-0.17,-0.18%,0,0
05/24/2023,96.765,96.765,96.765,96.765,-0.025,-0.03%,0,0
05/23/2023,96.79,96.79,96.79,96.79,0,0.00%,0,0
05/22/2023,96.79,96.79,96.79,96.79,-0.04,-0.04%,0,0
05/19/2023,96.83,96.83,96.83,96.83,-0.035,-0.04%,0,0
05/18/2023,96.865,96.865,96.865,96.865,-0.165,-0.17%,0,0
05/17/2023,97.03,97.03,97.03,97.03,-0.075,-0.08%,0,0
05/16/2023,97.105,97.105,97.105,97.105,-0.055,-0.06%,0,0
05/15/2023,97.16,97.16,97.16,97.16,-0.005,-0.01%,0,0
05/12/2023,97.165,97.165,97.165,97.165,-0.11,-0.11%,0,0
05/11/2023,97.275,97.275,97.275,97.275,-0.005,-0.01%,0,0
05/10/2023,97.28,97.28,97.28,97.28,0.16,+0.16%,0,0
05/09/2023,97.12,97.12,97.12,97.12,0.025,+0.03%,0,0
05/08/2023,97.095,97.095,97.095,97.095,-0.1,-0.10%,0,0
05/05/2023,97.195,97.195,97.195,97.195,-0.28,-0.29%,0,0
05/04/2023,97.475,97.475,97.475,97.475,0.225,+0.23%,0,0
05/03/2023,97.25,97.25,97.25,97.25,0.09,+0.09%,0,0
05/02/2023,97.16,97.16,97.16,97.16,0.195,+0.20%,0,0
05/01/2023,96.965,96.965,96.965,96.965,-0.095,-0.10%,0,0
04/28/2023,97.06,97.06,97.06,97.06,0.025,+0.03%,0,0
04/27/2023,97.035,97.035,97.035,97.035,-0.19,-0.20%,0,0
04/26/2023,97.225,97.225,97.225,97.225,-0.035,-0.04%,0,0
04/25/2023,97.26,97.26,97.26,97.26,0.28,+0.29%,0,0
04/24/2023,96.98,96.98,96.98,96.98,0.055,+0.06%,0,0
04/21/2023,96.925,96.925,96.925,96.925,-0.005,-0.01%,0,0
04/20/2023,96.93,96.93,96.93,96.93,0.135,+0.14%,0,0
04/19/2023,96.795,96.795,96.795,96.795,0,0.00%,0,0
04/18/2023,96.795,96.795,96.795,96.795,0,0.00%,0,0
04/17/2023,96.795,96.795,96.795,96.795,-0.115,-0.12%,0,0
04/14/2023,96.91,96.91,96.91,96.91,-0.15,-0.15%,0,0
04/13/2023,97.06,97.06,97.06,97.06,0.005,+0.01%,0,0
04/12/2023,97.055,97.055,97.055,97.055,0.105,+0.11%,0,0
04/11/2023,96.95,96.95,96.95,96.95,-0.05,-0.05%,0,0
04/10/2023,97,97,97,97,-0.01,-0.01%,0,0
04/07/2023,97.01,97.01,97.01,97.01,-0.19,-0.20%,0,0
04/06/2023,97.2,97.2,97.2,97.2,-0.105,-0.11%,0,0
04/05/2023,97.305,97.305,97.305,97.305,0.095,+0.10%,0,0
04/04/2023,97.21,97.21,97.21,97.21,0.2,+0.21%,0,0
04/03/2023,97.01,97.01,97.01,97.01,0.165,+0.17%,0,0
03/31/2023,96.845,96.845,96.845,96.845,0.065,+0.07%,0,0
03/30/2023,96.78,96.78,96.78,96.78,-0.025,-0.03%,0,0
03/29/2023,96.805,96.805,96.805,96.805,-0.02,-0.02%,0,0
03/28/2023,96.825,96.825,96.825,96.825,-0.14,-0.14%,0,0
03/27/2023,96.965,96.965,96.965,96.965,-0.265,-0.27%,0,0
03/24/2023,97.23,97.23,97.23,97.23,-0.165,-0.17%,0,0
03/23/2023,97.395,97.395,97.395,97.395,0.13,+0.13%,0,0
03/22/2023,97.265,97.265,97.265,97.265,0.275,+0.28%,0,0
03/21/2023,96.99,96.99,96.99,96.99,-0.28,-0.29%,0,0
03/20/2023,97.27,97.27,97.27,97.27,-0.075,-0.08%,0,0
03/17/2023,97.345,97.345,97.345,97.345,0.08,+0.08%,0,0
03/16/2023,97.265,97.265,97.265,97.265,-0.09,-0.09%,0,0
03/15/2023,97.355,97.355,97.355,97.355,0.16,+0.16%,0,0
03/14/2023,97.195,97.195,97.195,97.195,-0.35,-0.36%,0,0
03/13/2023,97.545,97.545,97.545,97.545,1,+1.04%,0,0
03/10/2023,96.545,96.545,96.545,96.545,0.44,+0.46%,0,0
03/09/2023,96.105,96.105,96.105,96.105,0.205,+0.21%,0,0
03/08/2023,95.9,95.9,95.9,95.9,-0.01,-0.01%,0,0
03/07/2023,95.91,95.91,95.91,95.91,-0.09,-0.09%,0,0
03/06/2023,96,96,96,96,0,0.00%,0,0
