Time,Open,High,Low,Close,Change,%Chg,Volume,"Open Int"
06/14/2023,94.875,94.9,94.735,94.8,-0.055,-0.06%,66267,90314
06/13/2023,94.935,95.01,94.825,94.855,-0.07,-0.07%,36640,87674
06/12/2023,94.925,94.98,94.915,94.925,-0.02,-0.02%,13738,86190
06/09/2023,94.985,95.005,94.935,94.945,-0.05,-0.05%,10439,86588
06/08/2023,94.975,95.05,94.935,94.995,0.02,+0.02%,24588,85636
06/07/2023,95.025,95.03,94.925,94.975,-0.025,-0.03%,32560,89035
06/06/2023,95.035,95.055,94.98,95,-0.02,-0.02%,16739,85022
06/05/2023,94.995,95.08,94.95,95.02,0.025,+0.03%,22338,83284
06/02/2023,95.14,95.15,94.975,94.995,-0.15,-0.16%,25771,80830
06/01/2023,95.09,95.185,95.03,95.145,0.05,+0.05%,17383,81513
05/31/2023,95.04,95.155,95.04,95.095,0.07,+0.07%,27808,79503
05/30/2023,94.985,95.055,94.93,95.025,0.04,+0.04%,40879,77056
05/26/2023,95.04,95.12,94.955,94.985,-0.07,-0.07%,48350,64349
05/25/2023,95.16,95.185,94.985,95.055,-0.135,-0.14%,31871,59196
05/24/2023,95.29,95.305,95.14,95.19,-0.075,-0.08%,20469,59191
05/23/2023,95.305,95.305,95.205,95.265,-0.03,-0.03%,23807,58773
05/22/2023,95.375,95.4,95.285,95.295,-0.055,-0.06%,14016,54065
05/19/2023,95.345,95.43,95.27,95.35,0.01,+0.01%,19540,53442
05/18/2023,95.465,95.485,95.33,95.34,-0.12,-0.13%,18057,51549
05/17/2023,95.515,95.535,95.44,95.46,-0.055,-0.06%,10786,49872
05/16/2023,95.59,95.63,95.48,95.515,-0.08,-0.08%,15909,49277
05/15/2023,95.61,95.63,95.565,95.595,-0.015,-0.02%,8887,48628
05/12/2023,95.71,95.72,95.595,95.61,-0.085,-0.09%,14264,47483
05/11/2023,95.715,95.78,95.66,95.695,-0.02,-0.02%,15196,46383
05/10/2023,95.585,95.74,95.535,95.715,0.125,+0.13%,16996,46284
05/09/2023,95.605,95.635,95.565,95.59,-0.005,-0.01%,8971,44866
05/08/2023,95.67,95.685,95.595,95.595,-0.085,-0.09%,8518,44887
05/05/2023,95.815,95.825,95.655,95.68,-0.21,-0.22%,17884,44221
05/04/2023,95.76,95.99,95.68,95.89,0.285,+0.30%,30126,43680
05/03/2023,95.6,95.75,95.565,95.605,0.03,+0.03%,19967,42792
05/02/2023,95.41,95.675,95.39,95.575,0.17,+0.18%,18849,41676
05/01/2023,95.49,95.51,95.355,95.405,-0.08,-0.08%,7474,42656
04/28/2023,95.485,95.535,95.43,95.485,0.02,+0.02%,11311,42533
04/27/2023,95.61,95.64,95.46,95.465,-0.185,-0.19%,11271,42646
04/26/2023,95.64,95.685,95.555,95.65,-0.005,-0.01%,16207,42693
04/25/2023,95.52,95.71,95.505,95.655,0.21,+0.22%,21000,41698
04/24/2023,95.415,95.52,95.41,95.445,0.03,+0.03%,6444,41973
04/21/2023,95.455,95.495,95.385,95.415,-0.02,-0.02%,9568,41423
04/20/2023,95.365,95.46,95.355,95.435,0.08,+0.08%,12213,40986
04/19/2023,95.405,95.41,95.33,95.355,-0.06,-0.06%,14281,39385
04/18/2023,95.44,95.48,95.385,95.415,-0.025,-0.03%,14085,39127
04/17/2023,95.52,95.52,95.405,95.44,-0.075,-0.08%,10213,38043
04/14/2023,95.66,95.705,95.48,95.515,-0.16,-0.17%,11462,37766
04/13/2023,95.685,95.74,95.625,95.675,0.01,+0.01%,8694,37938
04/12/2023,95.635,95.76,95.555,95.665,0.065,+0.07%,12811,37592
04/11/2023,95.61,95.66,95.565,95.6,-0.005,-0.01%,6282,36630
04/10/2023,95.635,95.69,95.585,95.605,-0.035,-0.04%,5002,35230
04/07/2023,95.835,95.835,95.635,95.64,-0.2,-0.21%,4852,36109
04/06/2023,95.915,96.045,95.82,95.84,-0.125,-0.13%,6921,36524
04/05/2023,95.88,96.12,95.795,95.965,0.1,+0.10%,10162,36610
04/04/2023,95.71,95.91,95.605,95.865,0.19,+0.20%,12432,36923
04/03/2023,95.64,95.705,95.53,95.675,0.015,+0.02%,8278,36218
03/31/2023,95.62,95.68,95.555,95.66,0.02,+0.02%,7363,37000
03/30/2023,95.665,95.73,95.57,95.64,-0.035,-0.04%,3745,35516
03/29/2023,95.695,95.775,95.6,95.675,-0.05,-0.05%,4554,35123
03/28/2023,95.795,95.865,95.675,95.725,-0.09,-0.09%,7333,34747
03/27/2023,96.06,96.095,95.77,95.815,-0.255,-0.27%,8395,33971
03/24/2023,96,96.405,95.96,96.07,0.02,+0.02%,10916,33968
03/23/2023,95.805,96.11,95.775,96.05,0.27,+0.28%,11385,35251
03/22/2023,95.65,95.905,95.515,95.78,0.145,+0.15%,15667,34711
03/21/2023,96.035,96.07,95.6,95.635,-0.42,-0.44%,13486,35497
03/20/2023,96.065,96.495,95.92,96.055,-0.12,-0.12%,21270,35664
03/17/2023,95.775,96.235,95.675,96.175,0.335,+0.35%,23629,39818
03/16/2023,96.295,96.415,95.72,95.84,-0.33,-0.34%,14967,34481
03/15/2023,95.745,96.635,95.46,96.17,0.325,+0.34%,31167,34333
03/14/2023,96.185,96.265,95.46,95.845,-0.26,-0.27%,26661,33207
03/13/2023,95.165,96.31,95.165,96.105,0.975,+1.02%,54543,31302
03/10/2023,94.68,95.135,94.675,95.13,0.52,+0.55%,42843,37748
03/09/2023,94.445,94.685,94.445,94.61,0.16,+0.17%,27693,36093
03/08/2023,94.485,94.545,94.44,94.45,-0.04,-0.04%,26203,33227
03/07/2023,94.645,94.68,94.48,94.49,-0.165,-0.17%,20328,35795
03/06/2023,94.7,94.715,94.65,94.655,-0.03,-0.03%,12359,35644
03/03/2023,94.675,94.72,94.64,94.685,0.015,+0.02%,17161,36033
03/02/2023,94.635,94.71,94.61,94.67,0.015,+0.02%,13418,33419
03/01/2023,94.71,94.735,94.625,94.655,-0.07,-0.07%,11405,32712
02/28/2023,94.72,94.74,94.69,94.725,0,0.00%,13544,30037
02/27/2023,94.735,94.745,94.695,94.725,-0.005,-0.01%,13758,30177
02/24/2023,94.83,94.85,94.7,94.73,-0.1,-0.11%,15489,32088
02/23/2023,94.825,94.845,94.79,94.83,0.015,+0.02%,5887,33708
02/22/2023,94.81,94.875,94.81,94.815,-0.005,-0.01%,10317,34169
02/21/2023,94.915,94.93,94.81,94.82,-0.105,-0.11%,7966,35105
02/17/2023,94.935,94.94,94.86,94.925,-0.055,-0.06%,14982,34282
02/16/2023,94.94,94.995,94.9,94.98,0.04,+0.04%,12905,30852
02/15/2023,94.94,94.96,94.87,94.94,0.02,+0.02%,19532,30233
02/14/2023,95.09,95.195,94.915,94.92,-0.15,-0.16%,23258,25716
02/13/2023,95.075,95.085,95.05,95.07,-0.02,-0.02%,8592,26710
02/10/2023,95.14,95.155,95.07,95.09,-0.035,-0.04%,15607,25814
02/09/2023,95.2,95.22,95.125,95.125,-0.05,-0.05%,11026,23049
02/08/2023,95.19,95.225,95.135,95.175,-0.005,-0.01%,10440,21778
02/07/2023,95.18,95.27,95.165,95.18,-0.03,-0.03%,12887,21425
02/06/2023,95.36,95.36,95.165,95.21,-0.17,-0.18%,35318,23676
02/03/2023,95.61,95.625,95.355,95.38,-0.24,-0.25%,34531,39413
02/02/2023,95.61,95.67,95.595,95.62,0.015,+0.02%,13152,24920
02/01/2023,95.525,95.63,95.475,95.605,0.085,+0.09%,11494,23738
01/31/2023,95.5,95.54,95.485,95.52,0.04,+0.04%,3591,21435
01/30/2023,95.525,95.535,95.47,95.48,-0.05,-0.05%,4938,20945
01/27/2023,95.55,95.555,95.525,95.53,-0.03,-0.03%,4264,20919
01/26/2023,95.6,95.615,95.54,95.56,-0.03,-0.03%,3017,21424
01/25/2023,95.535,95.6,95.535,95.59,0.05,+0.05%,4034,21274
01/24/2023,95.545,95.555,95.5,95.54,0.015,+0.02%,3497,20442
01/23/2023,95.6,95.6,95.525,95.525,-0.06,-0.06%,4423,19835
01/20/2023,95.6,95.605,95.555,95.585,-0.03,-0.03%,3627,20159
01/19/2023,95.675,95.69,95.59,95.615,-0.055,-0.06%,6839,19999
